sys,t_res,s_res,time_span,tr,ta,total_time
Polaris,hour,0.25,1.0,0.8405861854553223,0,0.8405861854553223
Polaris,hour,0.25,1.0,0.038788795471191406,0,0.038788795471191406
Polaris,hour,0.25,1.0,0.038956642150878906,0,0.038956642150878906
Polaris,hour,0.25,2.5,0.08580422401428223,0,0.08580422401428223
Polaris,hour,0.25,2.5,0.07980871200561523,0,0.07980871200561523
Polaris,hour,0.25,2.5,0.0837867259979248,0,0.0837867259979248
Polaris,hour,0.25,5.0,0.03646707534790039,0,0.03646707534790039
Polaris,hour,0.25,5.0,0.04074430465698242,0,0.04074430465698242
Polaris,hour,0.25,5.0,0.04338479042053223,0,0.04338479042053223
Polaris,hour,0.25,10.0,0.04929375648498535,0,0.04929375648498535
Polaris,hour,0.25,10.0,0.04439067840576172,0,0.04439067840576172
Polaris,hour,0.25,10.0,0.04824352264404297,0,0.04824352264404297
Polaris,year,0.25,1.0,0.0349581241607666,0,0.0349581241607666
Polaris,year,0.25,1.0,0.037995338439941406,0,0.037995338439941406
Polaris,year,0.25,1.0,0.03997468948364258,0,0.03997468948364258
Polaris,year,0.25,2.5,0.081878662109375,0,0.081878662109375
Polaris,year,0.25,2.5,0.08043217658996582,0,0.08043217658996582
Polaris,year,0.25,2.5,0.08391761779785156,0,0.08391761779785156
Polaris,year,0.25,5.0,0.03858757019042969,0,0.03858757019042969
Polaris,year,0.25,5.0,0.04073691368103027,0,0.04073691368103027
Polaris,year,0.25,5.0,0.04333162307739258,0,0.04333162307739258
Polaris,year,0.25,10.0,0.045143842697143555,0,0.045143842697143555
Polaris,year,0.25,10.0,0.044420480728149414,0,0.044420480728149414
Polaris,year,0.25,10.0,0.048310279846191406,0,0.048310279846191406
Polaris,month,0.5,1.0,0.0355067253112793,0,0.0355067253112793
Polaris,month,0.5,1.0,0.03734564781188965,0,0.03734564781188965
Polaris,month,0.5,1.0,0.039591073989868164,0,0.039591073989868164
Polaris,month,0.5,2.5,0.0756080150604248,0,0.0756080150604248
Polaris,month,0.5,2.5,0.07564949989318848,0,0.07564949989318848
Polaris,month,0.5,2.5,0.07906627655029297,0,0.07906627655029297
Polaris,month,0.5,5.0,0.03835558891296387,0,0.03835558891296387
Polaris,month,0.5,5.0,0.03840184211730957,0,0.03840184211730957
Polaris,month,0.5,5.0,0.04009556770324707,0,0.04009556770324707
Polaris,month,0.5,10.0,0.03937363624572754,0,0.03937363624572754
Polaris,month,0.5,10.0,0.038892269134521484,0,0.038892269134521484
Polaris,month,0.5,10.0,0.04131770133972168,0,0.04131770133972168
Polaris,hour,1.0,1.0,0.03698587417602539,0,0.03698587417602539
Polaris,hour,1.0,1.0,0.03746175765991211,0,0.03746175765991211
Polaris,hour,1.0,1.0,0.039272308349609375,0,0.039272308349609375
Polaris,hour,1.0,2.5,0.07463192939758301,0,0.07463192939758301
Polaris,hour,1.0,2.5,0.07451891899108887,0,0.07451891899108887
Polaris,hour,1.0,2.5,0.07748913764953613,0,0.07748913764953613
Polaris,hour,1.0,5.0,0.037245988845825195,0,0.037245988845825195
Polaris,hour,1.0,5.0,0.03765273094177246,0,0.03765273094177246
Polaris,hour,1.0,5.0,0.03960609436035156,0,0.03960609436035156
Polaris,hour,1.0,10.0,0.03785419464111328,0,0.03785419464111328
Polaris,hour,1.0,10.0,0.037580013275146484,0,0.037580013275146484
Polaris,hour,1.0,10.0,0.04003453254699707,0,0.04003453254699707
Polaris,year,1.0,1.0,0.03718066215515137,0,0.03718066215515137
Polaris,year,1.0,1.0,0.03741788864135742,0,0.03741788864135742
Polaris,year,1.0,1.0,0.03951573371887207,0,0.03951573371887207
Polaris,year,1.0,2.5,0.07471680641174316,0,0.07471680641174316
Polaris,year,1.0,2.5,0.07468914985656738,0,0.07468914985656738
Polaris,year,1.0,2.5,0.07755064964294434,0,0.07755064964294434
Polaris,year,1.0,5.0,0.03722500801086426,0,0.03722500801086426
Polaris,year,1.0,5.0,0.03756856918334961,0,0.03756856918334961
Polaris,year,1.0,5.0,0.039427757263183594,0,0.039427757263183594
Polaris,year,1.0,10.0,0.03764796257019043,0,0.03764796257019043
Polaris,year,1.0,10.0,0.03751969337463379,0,0.03751969337463379
Polaris,year,1.0,10.0,0.040021419525146484,0,0.040021419525146484
Vanilla,hour,0.25,1.0,3.9259591102600098,0,3.9259591102600098
Vanilla,hour,0.25,1.0,3.8877365589141846,0,3.8877365589141846
Vanilla,hour,0.25,1.0,11.649935483932495,0,11.649935483932495
Vanilla,hour,0.25,2.5,37.14148712158203,0,37.14148712158203
Vanilla,hour,0.25,2.5,10.614480018615723,0,10.614480018615723
Vanilla,hour,0.25,2.5,17.72596526145935,0,17.72596526145935
Vanilla,hour,0.25,5.0,29.88960909843445,0,29.88960909843445
Vanilla,hour,0.25,5.0,17.966492891311646,0,17.966492891311646
Vanilla,hour,0.25,5.0,17.633458137512207,0,17.633458137512207
Vanilla,hour,0.25,10.0,148.3467345237732,0,148.3467345237732
Vanilla,hour,0.25,10.0,165.24232459068298,0,165.24232459068298
Vanilla,hour,0.25,10.0,113.71225595474243,0,113.71225595474243
Vanilla,year,0.25,1.0,5.0672643184661865,0,5.0672643184661865
Vanilla,year,0.25,1.0,5.7884910106658936,0,5.7884910106658936
Vanilla,year,0.25,1.0,20.874770164489746,0,20.874770164489746
Vanilla,year,0.25,2.5,20.71673893928528,0,20.71673893928528
Vanilla,year,0.25,2.5,7.176915168762207,0,7.176915168762207
Vanilla,year,0.25,2.5,26.33258056640625,0,26.33258056640625
Vanilla,year,0.25,5.0,27.458040714263916,0,27.458040714263916
Vanilla,year,0.25,5.0,25.21910071372986,0,25.21910071372986
Vanilla,year,0.25,5.0,26.336707830429077,0,26.336707830429077
Vanilla,year,0.25,10.0,138.16496539115906,0,138.16496539115906
Vanilla,year,0.25,10.0,162.6329324245453,0,162.6329324245453
Vanilla,year,0.25,10.0,115.5282506942749,0,115.5282506942749
Vanilla,month,0.5,1.0,20.94053626060486,0,20.94053626060486
Vanilla,month,0.5,1.0,8.085862874984741,0,8.085862874984741
Vanilla,month,0.5,1.0,21.56065797805786,0,21.56065797805786
Vanilla,month,0.5,2.5,26.565497159957886,0,26.565497159957886
Vanilla,month,0.5,2.5,12.52964448928833,0,12.52964448928833
Vanilla,month,0.5,2.5,33.697086811065674,0,33.697086811065674
Vanilla,month,0.5,5.0,32.993671894073486,0,32.993671894073486
Vanilla,month,0.5,5.0,30.955061435699463,0,30.955061435699463
Vanilla,month,0.5,5.0,53.702117681503296,0,53.702117681503296
Vanilla,month,0.5,10.0,139.17585945129395,0,139.17585945129395
Vanilla,month,0.5,10.0,160.20072197914124,0,160.20072197914124
Vanilla,month,0.5,10.0,124.88202357292175,0,124.88202357292175
Vanilla,hour,1.0,1.0,10.34758186340332,0,10.34758186340332
Vanilla,hour,1.0,1.0,6.96278190612793,0,6.96278190612793
Vanilla,hour,1.0,1.0,17.167341947555542,0,17.167341947555542
Vanilla,hour,1.0,2.5,31.843915700912476,0,31.843915700912476
Vanilla,hour,1.0,2.5,8.820987939834595,0,8.820987939834595
Vanilla,hour,1.0,2.5,29.500768423080444,0,29.500768423080444
Vanilla,hour,1.0,5.0,27.732588291168213,0,27.732588291168213
Vanilla,hour,1.0,5.0,28.524908542633057,0,28.524908542633057
Vanilla,hour,1.0,5.0,51.740596532821655,0,51.740596532821655
Vanilla,hour,1.0,10.0,138.34368681907654,0,138.34368681907654
Vanilla,hour,1.0,10.0,145.37441611289978,0,145.37441611289978
Vanilla,hour,1.0,10.0,110.01224565505981,0,110.01224565505981
Vanilla,year,1.0,1.0,8.523064851760864,0,8.523064851760864
Vanilla,year,1.0,1.0,7.962714433670044,0,7.962714433670044
Vanilla,year,1.0,1.0,9.642157793045044,0,9.642157793045044
Vanilla,year,1.0,2.5,35.111570835113525,0,35.111570835113525
Vanilla,year,1.0,2.5,8.630237102508545,0,8.630237102508545
Vanilla,year,1.0,2.5,32.49735164642334,0,32.49735164642334
Vanilla,year,1.0,5.0,15.144506931304932,0,15.144506931304932
Vanilla,year,1.0,5.0,20.680389165878296,0,20.680389165878296
Vanilla,year,1.0,5.0,50.480849504470825,0,50.480849504470825
Vanilla,year,1.0,10.0,136.81594371795654,0,136.81594371795654
Vanilla,year,1.0,10.0,138.99498987197876,0,138.99498987197876
Vanilla,year,1.0,10.0,111.39739108085632,0,111.39739108085632
TileDB,hour,0.25,1.0,37.50436544418335,0,37.50436544418335
TileDB,hour,0.25,1.0,39.210285663604736,0,39.210285663604736
TileDB,hour,0.25,1.0,39.50013494491577,0,39.50013494491577
TileDB,hour,0.25,2.5,44.56511688232422,0,44.56511688232422
TileDB,hour,0.25,2.5,41.687885999679565,0,41.687885999679565
TileDB,hour,0.25,2.5,49.25606107711792,0,49.25606107711792
TileDB,hour,0.25,5.0,56.45857858657837,0,56.45857858657837
TileDB,hour,0.25,5.0,48.69909071922302,0,48.69909071922302
TileDB,hour,0.25,5.0,66.84259724617004,0,66.84259724617004
TileDB,year,0.25,1.0,39.356603384017944,0,39.356603384017944
TileDB,year,0.25,1.0,39.59983015060425,0,39.59983015060425
TileDB,year,0.25,1.0,40.51340174674988,0,40.51340174674988
TileDB,year,0.25,2.5,47.06882381439209,0,47.06882381439209
TileDB,year,0.25,2.5,43.157307386398315,0,43.157307386398315
TileDB,year,0.25,2.5,49.1102659702301,0,49.1102659702301
TileDB,year,0.25,5.0,51.3492271900177,0,51.3492271900177
TileDB,year,0.25,5.0,42.4255530834198,0,42.4255530834198
TileDB,year,0.25,5.0,50.057273387908936,0,50.057273387908936
TileDB,month,0.5,1.0,36.11565089225769,0,36.11565089225769
TileDB,month,0.5,1.0,35.99908709526062,0,35.99908709526062
TileDB,month,0.5,1.0,36.917277574539185,0,36.917277574539185
TileDB,month,0.5,2.5,37.267212867736816,0,37.267212867736816
TileDB,month,0.5,2.5,37.125892162323,0,37.125892162323
TileDB,month,0.5,2.5,38.683539390563965,0,38.683539390563965
TileDB,month,0.5,5.0,39.75625205039978,0,39.75625205039978
TileDB,month,0.5,5.0,40.95485711097717,0,40.95485711097717
TileDB,month,0.5,5.0,44.045323610305786,0,44.045323610305786
TileDB,hour,1.0,1.0,45.667773723602295,0,45.667773723602295
TileDB,hour,1.0,1.0,45.53359627723694,0,45.53359627723694
TileDB,hour,1.0,1.0,44.4655237197876,0,44.4655237197876
TileDB,hour,1.0,2.5,61.149901151657104,0,61.149901151657104
TileDB,hour,1.0,2.5,60.768054723739624,0,60.768054723739624
TileDB,hour,1.0,2.5,60.45345997810364,0,60.45345997810364
TileDB,hour,1.0,5.0,88.51641702651978,0,88.51641702651978
TileDB,hour,1.0,5.0,87.66944241523743,0,87.66944241523743
TileDB,hour,1.0,5.0,93.32813811302185,0,93.32813811302185
TileDB,year,1.0,1.0,36.75982713699341,0,36.75982713699341
TileDB,year,1.0,1.0,36.77770972251892,0,36.77770972251892
TileDB,year,1.0,1.0,37.61443328857422,0,37.61443328857422
TileDB,year,1.0,2.5,39.61808633804321,0,39.61808633804321
TileDB,year,1.0,2.5,38.12501263618469,0,38.12501263618469
TileDB,year,1.0,2.5,40.45833706855774,0,40.45833706855774
TileDB,year,1.0,5.0,46.149006843566895,0,46.149006843566895
TileDB,year,1.0,5.0,43.7746524810791,0,43.7746524810791
TileDB,year,1.0,5.0,49.33408975601196,0,49.33408975601196
Sedona,year,0.25,1.0,,,2.4804184436798096
Sedona,year,0.25,2.5,,,0.12042498588562012
Sedona,year,0.25,5.0,,,2.789181709289551
Sedona,year,1.0,1.0,,,2.7024614810943604
Sedona,year,1.0,2.5,,,0.07709503173828125
Sedona,year,1.0,5.0,,,2.6658482551574707
Sedona,year,0.25,1.0,,,4.277023792266846
Sedona,year,0.25,2.5,,,0.13761115074157715
Sedona,year,0.25,5.0,,,3.023730993270874
Sedona,year,1.0,1.0,,,2.8736774921417236
Sedona,year,1.0,2.5,,,0.11060047149658203
Sedona,year,1.0,5.0,,,2.6202657222747803
Sedona,year,0.25,1.0,,,4.311295032501221
Sedona,year,0.25,2.5,,,0.13306069374084473
Sedona,year,0.25,5.0,,,3.0011439323425293
Sedona,year,1.0,1.0,,,3.0624191761016846
Sedona,year,1.0,2.5,,,0.10027194023132324
Sedona,year,1.0,5.0,,,2.861981153488159